Timestamp,StartPoint,StartPointName,EndPoint,EndPointName,MinMeasuredTime,MaxMeasuredTime,AvgMeasuredTime,MedianMeasuredTime,SampleCount,AccuracyLevel,ConfidenceLevel
1-May-2015 12:05:00 AM,1,H,2,I,94,124,110,111,13,0,0
1-May-2015 12:10:00 AM,1,H,2,I,93,129,110,109,13,0,0
1-May-2015 12:15:00 AM,1,H,2,I,93,128,108,108,17,0,0
1-May-2015 12:20:00 AM,1,H,2,I,101,129,111,109,16,0,0
1-May-2015 12:25:00 AM,1,H,2,I,79,118,101,100,19,0,0
1-May-2015 12:30:00 AM,1,H,2,I,90,123,111,115,9,0,0
1-May-2015 12:35:00 AM,1,H,2,I,100,130,107,105,14,0,0
1-May-2015 12:40:00 AM,1,H,2,I,81,112,96,93,14,0,0
1-May-2015 12:45:00 AM,1,H,2,I,85,126,106,105,16,0,0
1-May-2015 12:50:00 AM,1,H,2,I,91,113,102,101,10,0,0
1-May-2015 12:55:00 AM,1,H,2,I,97,123,111,109,11,0,0
1-May-2015 1:00:00 AM,1,H,2,I,87,122,106,108,14,0,0
1-May-2015 1:05:00 AM,1,H,2,I,90,132,106,103,16,0,0
1-May-2015 1:10:00 AM,1,H,2,I,89,134,111,110,13,0,0
1-May-2015 1:15:00 AM,1,H,2,I,92,125,103,103,12,0,0
1-May-2015 1:20:00 AM,1,H,2,I,91,117,107,106,11,0,0
1-May-2015 1:25:00 AM,1,H,2,I,61,109,99,101,16,0,0
1-May-2015 1:30:00 AM,1,H,2,I,91,109,104,106,9,0,0
1-May-2015 1:35:00 AM,1,H,2,I,97,110,105,106,8,0,0
1-May-2015 1:40:00 AM,1,H,2,I,81,115,102,106,8,0,0
1-May-2015 1:45:00 AM,1,H,2,I,92,123,107,109,9,0,0
1-May-2015 1:50:00 AM,1,H,2,I,111,119,116,117,3,0,0
1-May-2015 1:55:00 AM,1,H,2,I,89,113,100,99,12,0,0
1-May-2015 2:00:00 AM,1,H,2,I,89,113,100,99,0,0,0
1-May-2015 2:05:00 AM,1,H,2,I,95,109,104,105,7,0,0
1-May-2015 2:10:00 AM,1,H,2,I,95,121,105,101,5,0,0
1-May-2015 2:15:00 AM,1,H,2,I,91,110,103,106,6,0,0
1-May-2015 2:20:00 AM,1,H,2,I,86,140,109,109,13,0,0
1-May-2015 2:25:00 AM,1,H,2,I,92,117,103,101,7,0,0
1-May-2015 2:30:00 AM,1,H,2,I,102,129,118,118,8,0,0
1-May-2015 2:35:00 AM,1,H,2,I,94,122,107,103,10,0,0
1-May-2015 2:40:00 AM,1,H,2,I,99,126,111,109,4,0,0
1-May-2015 2:45:00 AM,1,H,2,I,93,122,105,102,7,0,0
1-May-2015 2:50:00 AM,1,H,2,I,93,124,110,109,6,0,0
1-May-2015 2:55:00 AM,1,H,2,I,90,105,101,102,5,0,0
1-May-2015 3:00:00 AM,1,H,2,I,95,110,102,101,6,0,0
1-May-2015 3:05:00 AM,1,H,2,I,108,117,113,112,2,0,0
1-May-2015 3:10:00 AM,1,H,2,I,89,113,106,106,7,0,0
1-May-2015 3:15:00 AM,1,H,2,I,90,114,100,96,5,0,0
1-May-2015 3:20:00 AM,1,H,2,I,91,123,109,111,7,0,0
1-May-2015 3:25:00 AM,1,H,2,I,91,122,107,106,2,0,0
1-May-2015 3:30:00 AM,1,H,2,I,89,123,109,114,9,0,0
1-May-2015 3:35:00 AM,1,H,2,I,97,147,115,105,6,0,0
1-May-2015 3:40:00 AM,1,H,2,I,99,121,108,106,4,0,0
1-May-2015 3:45:00 AM,1,H,2,I,96,113,107,107,6,0,0
1-May-2015 3:50:00 AM,1,H,2,I,114,131,123,123,4,0,0
1-May-2015 3:55:00 AM,1,H,2,I,105,121,111,110,9,0,0
1-May-2015 4:00:00 AM,1,H,2,I,103,124,113,110,7,0,0
1-May-2015 4:05:00 AM,1,H,2,I,103,132,115,110,7,0,0
1-May-2015 4:10:00 AM,1,H,2,I,107,119,112,109,3,0,0
1-May-2015 4:15:00 AM,1,H,2,I,99,128,116,115,7,0,0
1-May-2015 4:20:00 AM,1,H,2,I,99,117,107,106,4,0,0
1-May-2015 4:25:00 AM,1,H,2,I,90,123,110,113,5,0,0
1-May-2015 4:30:00 AM,1,H,2,I,111,111,111,111,1,0,0
1-May-2015 4:35:00 AM,1,H,2,I,98,114,104,101,3,0,0
1-May-2015 4:40:00 AM,1,H,2,I,93,118,107,110,5,0,0
1-May-2015 4:45:00 AM,1,H,2,I,90,124,106,105,8,0,0
1-May-2015 4:50:00 AM,1,H,2,I,109,116,113,112,2,0,0
1-May-2015 4:55:00 AM,1,H,2,I,92,136,112,110,6,0,0
1-May-2015 5:00:00 AM,1,H,2,I,93,120,110,108,9,0,0
1-May-2015 5:05:00 AM,1,H,2,I,95,117,104,101,4,0,0
1-May-2015 5:10:00 AM,1,H,2,I,94,97,96,95,2,0,0
1-May-2015 5:15:00 AM,1,H,2,I,100,123,114,115,6,0,0
1-May-2015 5:20:00 AM,1,H,2,I,97,132,113,113,9,0,0
1-May-2015 5:25:00 AM,1,H,2,I,99,128,117,121,4,0,0
1-May-2015 5:30:00 AM,1,H,2,I,97,112,103,101,5,0,0
1-May-2015 5:35:00 AM,1,H,2,I,94,108,101,102,8,0,0
1-May-2015 5:40:00 AM,1,H,2,I,89,111,101,102,7,0,0
1-May-2015 5:45:00 AM,1,H,2,I,85,114,104,105,14,0,0
1-May-2015 5:50:00 AM,1,H,2,I,98,123,110,105,8,0,0
1-May-2015 5:55:00 AM,1,H,2,I,85,121,105,105,14,0,0
1-May-2015 6:00:00 AM,1,H,2,I,90,122,107,107,10,0,0
1-May-2015 6:05:00 AM,1,H,2,I,94,121,108,109,11,0,0
1-May-2015 6:10:00 AM,1,H,2,I,88,110,101,98,16,0,0
1-May-2015 6:15:00 AM,1,H,2,I,84,116,101,101,15,0,0
1-May-2015 6:20:00 AM,1,H,2,I,93,106,99,98,14,0,0
1-May-2015 6:25:00 AM,1,H,2,I,84,121,105,104,25,0,0
1-May-2015 6:30:00 AM,1,H,2,I,88,132,108,106,21,0,0
1-May-2015 6:35:00 AM,1,H,2,I,86,126,105,106,26,0,0
1-May-2015 6:40:00 AM,1,H,2,I,90,146,104,97,15,0,0
1-May-2015 6:45:00 AM,1,H,2,I,83,115,101,101,28,0,0
1-May-2015 6:50:00 AM,1,H,2,I,91,113,102,100,16,0,0
1-May-2015 6:55:00 AM,1,H,2,I,87,120,103,101,25,0,0
1-May-2015 7:00:00 AM,1,H,2,I,91,119,104,103,19,0,0
1-May-2015 7:05:00 AM,1,H,2,I,92,113,101,100,19,0,0
1-May-2015 7:10:00 AM,1,H,2,I,96,121,105,105,17,0,0
1-May-2015 7:15:00 AM,1,H,2,I,95,118,105,106,14,0,0
1-May-2015 7:20:00 AM,1,H,2,I,92,133,107,105,26,0,0
1-May-2015 7:25:00 AM,1,H,2,I,99,139,118,120,31,0,0
1-May-2015 7:30:00 AM,1,H,2,I,129,171,145,143,8,0,0
1-May-2015 7:35:00 AM,1,H,2,I,162,218,195,199,23,0,0
1-May-2015 7:40:00 AM,1,H,2,I,154,228,172,167,15,0,0
1-May-2015 7:45:00 AM,1,H,2,I,152,196,175,175,12,0,0
1-May-2015 7:50:00 AM,1,H,2,I,180,224,199,197,11,0,0
1-May-2015 7:55:00 AM,1,H,2,I,198,255,225,224,10,0,0
1-May-2015 8:00:00 AM,1,H,2,I,240,335,290,293,11,0,0
1-May-2015 8:05:00 AM,1,H,2,I,252,296,275,275,9,0,0
1-May-2015 8:10:00 AM,1,H,2,I,182,271,237,241,14,0,0
