Timestamp,StartPoint,StartPointName,EndPoint,EndPointName,MinMeasuredTime,MaxMeasuredTime,AvgMeasuredTime,MedianMeasuredTime,SampleCount,AccuracyLevel,ConfidenceLevel
1-May-2015 12:05:00 AM,1,J,2,I,51,90,61,58,8,0,0
1-May-2015 12:10:00 AM,1,J,2,I,50,75,56,54,9,0,0
1-May-2015 12:15:00 AM,1,J,2,I,45,68,55,54,7,0,0
1-May-2015 12:20:00 AM,1,J,2,I,43,68,56,56,8,0,0
1-May-2015 12:25:00 AM,1,J,2,I,48,66,57,57,12,0,0
1-May-2015 12:30:00 AM,1,J,2,I,45,74,55,53,19,0,0
1-May-2015 12:35:00 AM,1,J,2,I,47,63,55,53,8,0,0
1-May-2015 12:40:00 AM,1,J,2,I,52,181,73,57,8,0,0
1-May-2015 12:45:00 AM,1,J,2,I,45,62,54,54,6,0,0
1-May-2015 12:50:00 AM,1,J,2,I,42,70,51,48,14,0,0
1-May-2015 12:55:00 AM,1,J,2,I,46,62,53,49,10,0,0
1-May-2015 1:00:00 AM,1,J,2,I,39,52,48,48,6,0,0
1-May-2015 1:05:00 AM,1,J,2,I,49,58,53,51,4,0,0
1-May-2015 1:10:00 AM,1,J,2,I,44,65,54,53,6,0,0
1-May-2015 1:15:00 AM,1,J,2,I,50,55,52,52,4,0,0
1-May-2015 1:20:00 AM,1,J,2,I,45,73,57,56,6,0,0
1-May-2015 1:25:00 AM,1,J,2,I,49,92,62,60,8,0,0
1-May-2015 1:30:00 AM,1,J,2,I,43,58,51,51,6,0,0
1-May-2015 1:35:00 AM,1,J,2,I,49,63,53,51,5,0,0
1-May-2015 1:40:00 AM,1,J,2,I,49,56,53,53,3,0,0
1-May-2015 1:45:00 AM,1,J,2,I,47,57,52,52,2,0,0
1-May-2015 1:50:00 AM,1,J,2,I,37,65,55,60,5,0,0
1-May-2015 1:55:00 AM,1,J,2,I,56,56,56,56,1,0,0
1-May-2015 2:00:00 AM,1,J,2,I,44,57,49,48,5,0,0
1-May-2015 2:05:00 AM,1,J,2,I,48,68,58,58,6,0,0
1-May-2015 2:10:00 AM,1,J,2,I,51,57,54,54,4,0,0
1-May-2015 2:15:00 AM,1,J,2,I,48,64,55,54,5,0,0
1-May-2015 2:20:00 AM,1,J,2,I,72,72,72,72,1,0,0
1-May-2015 2:25:00 AM,1,J,2,I,3,65,48,50,7,0,0
1-May-2015 2:30:00 AM,1,J,2,I,43,98,61,59,8,0,0
1-May-2015 2:35:00 AM,1,J,2,I,52,57,55,54,2,0,0
1-May-2015 2:40:00 AM,1,J,2,I,62,62,62,62,1,0,0
1-May-2015 2:45:00 AM,1,J,2,I,49,85,61,57,6,0,0
1-May-2015 2:50:00 AM,1,J,2,I,49,61,55,55,2,0,0
1-May-2015 2:55:00 AM,1,J,2,I,46,61,53,54,9,0,0
1-May-2015 3:00:00 AM,1,J,2,I,47,69,58,55,7,0,0
1-May-2015 3:05:00 AM,1,J,2,I,50,67,55,53,5,0,0
1-May-2015 3:10:00 AM,1,J,2,I,47,61,55,55,4,0,0
1-May-2015 3:15:00 AM,1,J,2,I,42,62,52,52,6,0,0
1-May-2015 3:20:00 AM,1,J,2,I,43,59,50,50,8,0,0
1-May-2015 3:25:00 AM,1,J,2,I,52,67,57,53,3,0,0
1-May-2015 3:30:00 AM,1,J,2,I,47,53,50,50,3,0,0
1-May-2015 3:35:00 AM,1,J,2,I,48,51,50,50,3,0,0
1-May-2015 3:40:00 AM,1,J,2,I,51,62,55,52,3,0,0
1-May-2015 3:45:00 AM,1,J,2,I,52,60,56,56,4,0,0
1-May-2015 3:50:00 AM,1,J,2,I,50,69,58,56,3,0,0
1-May-2015 3:55:00 AM,1,J,2,I,46,67,52,48,6,0,0
1-May-2015 4:00:00 AM,1,J,2,I,49,52,51,50,2,0,0
1-May-2015 4:05:00 AM,1,J,2,I,45,53,50,52,3,0,0
1-May-2015 4:10:00 AM,1,J,2,I,42,78,60,60,3,0,0
1-May-2015 4:15:00 AM,1,J,2,I,57,84,65,59,5,0,0
1-May-2015 4:20:00 AM,1,J,2,I,47,51,49,48,3,0,0
1-May-2015 4:25:00 AM,1,J,2,I,53,74,61,58,4,0,0
1-May-2015 4:30:00 AM,1,J,2,I,50,102,67,60,6,0,0
1-May-2015 4:35:00 AM,1,J,2,I,47,68,55,52,6,0,0
1-May-2015 4:40:00 AM,1,J,2,I,46,62,55,56,9,0,0
1-May-2015 4:45:00 AM,1,J,2,I,48,59,55,56,5,0,0
1-May-2015 4:50:00 AM,1,J,2,I,45,59,51,51,8,0,0
1-May-2015 4:55:00 AM,1,J,2,I,41,59,50,50,9,0,0
1-May-2015 5:00:00 AM,1,J,2,I,21,57,47,50,7,0,0
1-May-2015 5:05:00 AM,1,J,2,I,47,60,54,53,2,0,0
1-May-2015 5:10:00 AM,1,J,2,I,41,62,52,52,6,0,0
1-May-2015 5:15:00 AM,1,J,2,I,44,73,52,49,12,0,0
1-May-2015 5:20:00 AM,1,J,2,I,44,69,53,52,10,0,0
1-May-2015 5:25:00 AM,1,J,2,I,45,64,54,55,15,0,0
1-May-2015 5:30:00 AM,1,J,2,I,42,67,52,50,20,0,0
1-May-2015 5:35:00 AM,1,J,2,I,38,65,51,50,20,0,0
1-May-2015 5:40:00 AM,1,J,2,I,46,68,56,56,17,0,0
1-May-2015 5:45:00 AM,1,J,2,I,43,64,53,53,22,0,0
1-May-2015 5:50:00 AM,1,J,2,I,42,61,51,50,24,0,0
1-May-2015 5:55:00 AM,1,J,2,I,44,94,57,55,24,0,0
1-May-2015 6:00:00 AM,1,J,2,I,44,64,53,53,19,0,0
1-May-2015 6:05:00 AM,1,J,2,I,42,113,59,55,15,0,0
1-May-2015 6:10:00 AM,1,J,2,I,50,96,61,58,22,0,0
1-May-2015 6:15:00 AM,1,J,2,I,61,122,90,90,35,0,0
1-May-2015 6:20:00 AM,1,J,2,I,58,101,74,72,33,0,0
1-May-2015 6:25:00 AM,1,J,2,I,59,103,79,80,36,0,0
1-May-2015 6:30:00 AM,1,J,2,I,55,96,73,73,27,0,0
1-May-2015 6:35:00 AM,1,J,2,I,53,93,66,65,38,0,0
1-May-2015 6:40:00 AM,1,J,2,I,62,100,82,83,44,0,0
1-May-2015 6:45:00 AM,1,J,2,I,73,105,86,83,33,0,0
1-May-2015 6:50:00 AM,1,J,2,I,78,108,92,90,31,0,0
1-May-2015 6:55:00 AM,1,J,2,I,80,143,98,95,39,0,0
1-May-2015 7:00:00 AM,1,J,2,I,74,122,92,90,38,0,0
1-May-2015 7:05:00 AM,1,J,2,I,72,135,90,91,32,0,0
1-May-2015 7:10:00 AM,1,J,2,I,74,103,84,82,27,0,0
1-May-2015 7:15:00 AM,1,J,2,I,79,134,97,93,46,0,0
1-May-2015 7:20:00 AM,1,J,2,I,87,160,110,104,41,0,0
1-May-2015 7:25:00 AM,1,J,2,I,83,125,101,99,42,0,0
1-May-2015 7:30:00 AM,1,J,2,I,82,129,103,102,30,0,0
1-May-2015 7:35:00 AM,1,J,2,I,84,144,109,106,61,0,0
1-May-2015 7:40:00 AM,1,J,2,I,80,134,98,96,43,0,0
1-May-2015 7:45:00 AM,1,J,2,I,78,166,103,103,61,0,0
1-May-2015 7:50:00 AM,1,J,2,I,91,184,113,112,40,0,0
1-May-2015 7:55:00 AM,1,J,2,I,86,147,115,112,51,0,0
1-May-2015 8:00:00 AM,1,J,2,I,89,164,114,112,31,0,0
1-May-2015 8:05:00 AM,1,J,2,I,87,161,113,105,48,0,0
1-May-2015 8:10:00 AM,1,J,2,I,85,154,119,121,65,0,0
1-May-2015 8:15:00 AM,1,J,2,I,115,206,151,152,47,0,0
1-May-2015 8:20:00 AM,1,J,2,I,103,179,133,133,59,0,0
1-May-2015 8:25:00 AM,1,J,2,I,114,226,139,132,52,0,0
1-May-2015 8:30:00 AM,1,J,2,I,111,225,149,148,47,0,0
1-May-2015 8:35:00 AM,1,J,2,I,108,211,138,135,61,0,0
1-May-2015 8:40:00 AM,1,J,2,I,95,183,119,118,54,0,0
1-May-2015 8:45:00 AM,1,J,2,I,103,218,136,135,40,0,0
1-May-2015 8:50:00 AM,1,J,2,I,90,208,135,126,46,0,0
1-May-2015 8:55:00 AM,1,J,2,I,102,226,145,141,45,0,0
1-May-2015 9:00:00 AM,1,J,2,I,121,192,152,150,64,0,0
1-May-2015 9:05:00 AM,1,J,2,I,122,226,154,152,63,0,0
1-May-2015 9:10:00 AM,1,J,2,I,113,225,168,166,60,0,0
1-May-2015 9:15:00 AM,1,J,2,I,88,198,127,127,50,0,0
1-May-2015 9:20:00 AM,1,J,2,I,112,158,131,129,45,0,0
1-May-2015 9:25:00 AM,1,J,2,I,122,190,151,150,49,0,0
1-May-2015 9:30:00 AM,1,J,2,I,98,200,140,137,71,0,0
1-May-2015 9:35:00 AM,1,J,2,I,86,159,108,103,50,0,0
1-May-2015 9:40:00 AM,1,J,2,I,89,145,114,113,58,0,0
1-May-2015 9:45:00 AM,1,J,2,I,69,131,100,101,40,0,0
1-May-2015 9:50:00 AM,1,J,2,I,70,137,93,90,46,0,0
1-May-2015 9:55:00 AM,1,J,2,I,87,182,116,117,51,0,0
1-May-2015 10:00:00 AM,1,J,2,I,91,144,109,108,35,0,0
1-May-2015 10:05:00 AM,1,J,2,I,69,127,97,97,39,0,0
1-May-2015 10:10:00 AM,1,J,2,I,77,102,89,88,34,0,0
1-May-2015 10:15:00 AM,1,J,2,I,69,114,87,88,27,0,0
1-May-2015 10:20:00 AM,1,J,2,I,69,122,89,88,33,0,0
1-May-2015 10:25:00 AM,1,J,2,I,78,111,95,95,38,0,0
1-May-2015 10:30:00 AM,1,J,2,I,68,130,90,85,29,0,0
1-May-2015 10:35:00 AM,1,J,2,I,69,121,90,89,41,0,0
1-May-2015 10:40:00 AM,1,J,2,I,60,102,76,75,35,0,0
1-May-2015 10:45:00 AM,1,J,2,I,68,126,88,87,30,0,0
1-May-2015 10:50:00 AM,1,J,2,I,48,118,75,70,32,0,0
1-May-2015 10:55:00 AM,1,J,2,I,53,81,64,64,24,0,0
1-May-2015 11:00:00 AM,1,J,2,I,53,85,66,65,24,0,0
1-May-2015 11:05:00 AM,1,J,2,I,53,122,70,66,18,0,0
1-May-2015 11:10:00 AM,1,J,2,I,50,88,63,60,28,0,0
1-May-2015 11:15:00 AM,1,J,2,I,49,83,62,62,32,0,0
1-May-2015 11:20:00 AM,1,J,2,I,49,95,62,61,25,0,0
1-May-2015 11:25:00 AM,1,J,2,I,44,72,59,60,21,0,0
1-May-2015 11:30:00 AM,1,J,2,I,57,83,66,66,23,0,0
1-May-2015 11:35:00 AM,1,J,2,I,52,80,64,62,29,0,0
1-May-2015 11:40:00 AM,1,J,2,I,51,70,60,60,22,0,0
1-May-2015 11:45:00 AM,1,J,2,I,49,87,58,56,28,0,0
1-May-2015 11:50:00 AM,1,J,2,I,49,125,68,62,24,0,0
1-May-2015 11:55:00 AM,1,J,2,I,75,129,100,97,31,0,0
1-May-2015 12:00:00 PM,1,J,2,I,83,128,98,95,38,0,0
1-May-2015 12:05:00 PM,1,J,2,I,68,110,86,84,38,0,0
1-May-2015 12:10:00 PM,1,J,2,I,68,120,95,96,26,0,0
1-May-2015 12:15:00 PM,1,J,2,I,82,151,96,93,26,0,0
1-May-2015 12:20:00 PM,1,J,2,I,76,112,94,93,34,0,0
1-May-2015 12:25:00 PM,1,J,2,I,76,139,101,100,30,0,0
1-May-2015 12:30:00 PM,1,J,2,I,60,95,78,79,23,0,0
1-May-2015 12:35:00 PM,1,J,2,I,53,100,65,64,29,0,0
1-May-2015 12:40:00 PM,1,J,2,I,65,106,83,81,24,0,0
1-May-2015 12:45:00 PM,1,J,2,I,56,107,74,69,44,0,0
1-May-2015 12:50:00 PM,1,J,2,I,51,88,63,61,35,0,0
1-May-2015 12:55:00 PM,1,J,2,I,49,107,66,63,22,0,0
1-May-2015 1:00:00 PM,1,J,2,I,46,78,60,58,21,0,0
1-May-2015 1:05:00 PM,1,J,2,I,46,85,58,55,27,0,0
1-May-2015 1:10:00 PM,1,J,2,I,51,78,61,61,25,0,0
1-May-2015 1:15:00 PM,1,J,2,I,50,113,72,70,31,0,0
1-May-2015 1:20:00 PM,1,J,2,I,45,143,67,62,27,0,0
1-May-2015 1:25:00 PM,1,J,2,I,48,100,66,64,17,0,0
1-May-2015 1:30:00 PM,1,J,2,I,49,86,64,64,18,0,0
1-May-2015 1:35:00 PM,1,J,2,I,52,75,63,63,31,0,0
1-May-2015 1:40:00 PM,1,J,2,I,50,83,64,62,30,0,0
1-May-2015 1:45:00 PM,1,J,2,I,47,81,59,59,22,0,0
1-May-2015 1:50:00 PM,1,J,2,I,49,100,65,61,17,0,0
1-May-2015 1:55:00 PM,1,J,2,I,46,110,59,57,23,0,0
1-May-2015 2:00:00 PM,1,J,2,I,47,75,60,61,25,0,0
1-May-2015 2:05:00 PM,1,J,2,I,48,95,61,59,34,0,0
1-May-2015 2:10:00 PM,1,J,2,I,48,83,59,55,18,0,0
1-May-2015 2:15:00 PM,1,J,2,I,43,81,62,61,17,0,0
1-May-2015 2:20:00 PM,1,J,2,I,47,64,54,53,20,0,0
1-May-2015 2:25:00 PM,1,J,2,I,49,100,67,67,22,0,0
1-May-2015 2:30:00 PM,1,J,2,I,48,74,58,58,20,0,0
1-May-2015 2:35:00 PM,1,J,2,I,43,130,68,62,22,0,0
1-May-2015 2:40:00 PM,1,J,2,I,48,138,63,60,22,0,0
1-May-2015 2:45:00 PM,1,J,2,I,49,69,59,60,23,0,0
1-May-2015 2:50:00 PM,1,J,2,I,52,76,60,57,24,0,0
1-May-2015 2:55:00 PM,1,J,2,I,46,78,57,57,15,0,0
1-May-2015 3:00:00 PM,1,J,2,I,48,71,57,56,23,0,0
1-May-2015 3:05:00 PM,1,J,2,I,43,90,58,57,24,0,0
1-May-2015 3:10:00 PM,1,J,2,I,49,67,59,60,13,0,0
1-May-2015 3:15:00 PM,1,J,2,I,46,106,61,55,29,0,0
1-May-2015 3:20:00 PM,1,J,2,I,51,90,63,61,23,0,0
1-May-2015 3:25:00 PM,1,J,2,I,45,74,57,57,24,0,0
1-May-2015 3:30:00 PM,1,J,2,I,42,78,56,55,26,0,0
1-May-2015 3:35:00 PM,1,J,2,I,46,90,61,62,27,0,0
1-May-2015 3:40:00 PM,1,J,2,I,44,82,62,62,22,0,0
1-May-2015 3:45:00 PM,1,J,2,I,48,90,58,56,25,0,0
1-May-2015 3:50:00 PM,1,J,2,I,50,99,64,59,22,0,0
1-May-2015 3:55:00 PM,1,J,2,I,46,72,58,58,18,0,0
1-May-2015 4:00:00 PM,1,J,2,I,45,88,62,60,16,0,0
1-May-2015 4:05:00 PM,1,J,2,I,48,107,64,60,19,0,0
1-May-2015 4:10:00 PM,1,J,2,I,45,66,56,56,23,0,0
1-May-2015 4:15:00 PM,1,J,2,I,46,70,57,57,24,0,0
1-May-2015 4:20:00 PM,1,J,2,I,48,73,59,59,22,0,0
1-May-2015 4:25:00 PM,1,J,2,I,49,77,60,58,25,0,0
1-May-2015 4:30:00 PM,1,J,2,I,54,80,64,61,23,0,0
1-May-2015 4:35:00 PM,1,J,2,I,57,78,64,64,25,0,0
1-May-2015 4:40:00 PM,1,J,2,I,62,93,70,69,26,0,0
1-May-2015 4:45:00 PM,1,J,2,I,67,127,94,93,34,0,0
1-May-2015 4:50:00 PM,1,J,2,I,81,125,100,100,37,0,0
1-May-2015 4:55:00 PM,1,J,2,I,77,149,97,93,31,0,0
1-May-2015 5:00:00 PM,1,J,2,I,84,130,104,103,46,0,0
1-May-2015 5:05:00 PM,1,J,2,I,91,161,108,105,23,0,0
1-May-2015 5:10:00 PM,1,J,2,I,89,137,104,104,35,0,0
1-May-2015 5:15:00 PM,1,J,2,I,93,124,110,109,25,0,0
1-May-2015 5:20:00 PM,1,J,2,I,91,152,111,109,41,0,0
1-May-2015 5:25:00 PM,1,J,2,I,79,135,102,100,40,0,0
1-May-2015 5:30:00 PM,1,J,2,I,84,129,106,102,42,0,0
1-May-2015 5:35:00 PM,1,J,2,I,84,134,103,102,32,0,0
1-May-2015 5:40:00 PM,1,J,2,I,78,119,94,91,31,0,0
1-May-2015 5:45:00 PM,1,J,2,I,71,120,89,88,37,0,0
1-May-2015 5:50:00 PM,1,J,2,I,87,124,100,98,35,0,0
1-May-2015 5:55:00 PM,1,J,2,I,81,142,98,90,33,0,0
1-May-2015 6:00:00 PM,1,J,2,I,70,122,93,92,42,0,0
1-May-2015 6:05:00 PM,1,J,2,I,67,94,78,75,35,0,0
1-May-2015 6:10:00 PM,1,J,2,I,76,102,89,89,44,0,0
1-May-2015 6:15:00 PM,1,J,2,I,78,144,102,102,34,0,0
1-May-2015 6:20:00 PM,1,J,2,I,42,124,68,60,22,0,0
1-May-2015 6:25:00 PM,1,J,2,I,44,107,58,52,13,0,0
1-May-2015 6:30:00 PM,1,J,2,I,43,111,59,53,17,0,0
1-May-2015 6:35:00 PM,1,J,2,I,44,91,61,52,12,0,0
1-May-2015 6:40:00 PM,1,J,2,I,38,107,52,49,19,0,0
1-May-2015 6:45:00 PM,1,J,2,I,45,72,55,54,10,0,0
1-May-2015 6:50:00 PM,1,J,2,I,45,70,53,52,17,0,0
1-May-2015 6:55:00 PM,1,J,2,I,43,74,54,51,18,0,0
1-May-2015 7:00:00 PM,1,J,2,I,42,79,53,51,22,0,0
1-May-2015 7:05:00 PM,1,J,2,I,41,81,56,55,21,0,0
1-May-2015 7:10:00 PM,1,J,2,I,43,71,52,49,16,0,0
1-May-2015 7:15:00 PM,1,J,2,I,42,111,55,50,11,0,0
1-May-2015 7:20:00 PM,1,J,2,I,40,70,51,51,15,0,0
1-May-2015 7:25:00 PM,1,J,2,I,45,65,53,53,18,0,0
1-May-2015 7:30:00 PM,1,J,2,I,43,82,52,48,16,0,0
1-May-2015 7:35:00 PM,1,J,2,I,43,85,54,51,20,0,0
1-May-2015 7:40:00 PM,1,J,2,I,42,67,51,50,20,0,0
1-May-2015 7:45:00 PM,1,J,2,I,38,81,54,55,12,0,0
1-May-2015 7:50:00 PM,1,J,2,I,42,83,56,54,31,0,0
1-May-2015 7:55:00 PM,1,J,2,I,45,86,55,54,27,0,0
1-May-2015 8:00:00 PM,1,J,2,I,45,83,57,56,19,0,0
1-May-2015 8:05:00 PM,1,J,2,I,49,70,58,58,28,0,0
1-May-2015 8:10:00 PM,1,J,2,I,49,92,63,62,19,0,0
1-May-2015 8:15:00 PM,1,J,2,I,48,89,63,58,24,0,0
1-May-2015 8:20:00 PM,1,J,2,I,54,78,65,64,23,0,0
1-May-2015 8:25:00 PM,1,J,2,I,52,75,63,63,34,0,0
1-May-2015 8:30:00 PM,1,J,2,I,48,94,64,62,20,0,0
1-May-2015 8:35:00 PM,1,J,2,I,49,81,63,63,20,0,0
1-May-2015 8:40:00 PM,1,J,2,I,50,80,61,62,33,0,0
1-May-2015 8:45:00 PM,1,J,2,I,46,66,56,56,24,0,0
